title,author,date,image_url,article_id,link
"In the AI gold rush, tech firms are embracing 72-hour weeks",,2026-02-09,https://ichef.bbci.co.uk/news/240/cpsprodpb/6c6c/live/f10455f0-0292-11f1-9972-d3f265c101c6.jpg.webp,cvgn2k285ypo,https://www.bbc.com/news/articles/cvgn2k285ypo
First patients have surgery using robot at hospital,Jacob Panons,2026-02-08,https://ichef.bbci.co.uk/news/240/cpsprodpb/2f88/live/cbc3ea30-0521-11f1-b327-21d8422c4f26.jpg.webp,c5y4dj0wle2o,https://www.bbc.com/news/articles/c5y4dj0wle2o
I’m obsessed with bar livestreams. All the drama of a night out - from my sofa,George Sandeman,2026-02-08,https://ichef.bbci.co.uk/news/240/cpsprodpb/6065/live/affe0730-036f-11f1-b7e1-afb6d0884c18.jpg.webp,cn9z0d9pd2xo,https://www.bbc.com/news/articles/cn9z0d9pd2xo
'AI could boost economy - with right funding',Georgina Barnes,2026-02-07,https://ichef.bbci.co.uk/news/240/cpsprodpb/6cd6/live/480fa830-029e-11f1-847c-9319db10c055.jpg.webp,c8rm73dgg52o,https://www.bbc.com/news/articles/c8rm73dgg52o
Google staff call for firm to cut ties with ICE,Kali Hays,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/3626/live/16717120-03a0-11f1-bf93-b525d4ae6a21.jpg.webp,cvgjg98vmzjo,https://www.bbc.com/news/articles/cvgjg98vmzjo
Uber ordered to pay $8.5m over claim driver raped passenger,Kali Hays,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/fa6f/live/e1f1dd00-0399-11f1-a0ef-03774d8753d9.jpg.webp,cq5y5w148p5o,https://www.bbc.com/news/articles/cq5y5w148p5o
Call to embrace AI or 'be smashed' by it,David Macmillan,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/5097/live/0a8d6000-038f-11f1-a36d-4dc7f32cefeb.jpg.webp,c8x9x8ldvk2o,https://www.bbc.com/news/articles/c8x9x8ldvk2o
YouTube's $60bn revenue revealed amid paid subscriber push,Liv McMahon,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/9ca2/live/b790f430-0360-11f1-bab5-81d0d0b0abce.jpg.webp,crkrkd2xlx6o,https://www.bbc.com/news/articles/crkrkd2xlx6o
Amazon shares fall as it joins Big Tech AI spending spree,Kali Hays,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/43d8/live/eb75a620-02dd-11f1-aed8-6f159d8910de.jpg.webp,c150e144we3o,https://www.bbc.com/news/articles/c150e144we3o
TikTok told to change 'addictive design' by EU or face massive fines,Laura Cress,2026-02-06,https://ichef.bbci.co.uk/news/240/cpsprodpb/6ce4/live/87e7b660-0351-11f1-8dce-5f79cab4f7bf.jpg.webp,cr7j7n315lmo,https://www.bbc.com/news/articles/cr7j7n315lmo
